t_rel_s,ts_ns,values
0.055,1779427875886806946,"[0.0, 0.0, 30.0, 0.0]"
1.001,1779427876832945959,"[0.0, 0.0, 30.0, 0.0]"
2.001,1779427877832896303,"[0.0, 0.0, 30.0, 0.0]"
3.000,1779427878832647861,"[0.0, 0.0, 30.0, 0.0]"
4.000,1779427879832752994,"[0.0, 0.0, 30.0, 0.0]"
5.001,1779427880832786420,"[0.0, 0.0, 30.0, 0.0]"
6.000,1779427881832633933,"[0.0, 0.0, 30.0, 0.0]"
7.001,1779427882833030497,"[0.0, 0.0, 30.0, 0.0]"
8.000,1779427883832627084,"[0.0, 0.0, 30.0, 0.0]"
9.000,1779427884832555001,"[0.0, 0.0, 30.0, 0.0]"
10.000,1779427885832518918,"[0.0, 0.0, 30.0, 0.0]"
11.000,1779427886832377252,"[0.0, 0.0, 30.0, 0.0]"
12.333,1779427888165620475,"[0.0, 0.0, 30.0, 0.0]"
13.000,1779427888832398959,"[0.0, 0.0, 30.0, 0.0]"
14.000,1779427889832279168,"[0.0, 0.0, 30.0, 0.0]"
15.000,1779427890832414249,"[0.0, 0.0, 30.0, 0.0]"
16.001,1779427891833040824,"[0.0, 0.0, 30.0, 0.0]"
17.000,1779427892832431623,"[0.0, 0.0, 30.0, 0.0]"
18.000,1779427893832497454,"[0.0, 0.0, 30.0, 0.0]"
19.000,1779427894832325789,"[0.0, 0.0, 30.0, 0.0]"
20.000,1779427895832316039,"[0.0, 0.0, 30.0, 0.0]"
21.000,1779427896832761199,"[0.0, 0.0, 30.0, 0.0]"
22.000,1779427897832337537,"[0.0, 0.0, 30.0, 0.0]"
23.001,1779427898833137902,"[0.0, 0.0, 30.0, 0.0]"
24.001,1779427899832762906,"[0.0, 0.0, 30.0, 0.0]"
25.000,1779427900832289911,"[0.0, 0.0, 30.0, 0.0]"
26.002,1779427901834596465,"[0.0, 0.0, 30.0, 0.0]"
27.000,1779427902832355575,"[0.0, 0.0, 30.0, 0.0]"
28.000,1779427903832286742,"[0.0, 0.0, 30.0, 0.0]"
29.000,1779427904832480197,"[0.0, 0.0, 30.0, 0.0]"
30.000,1779427905832424947,"[0.0, 0.0, 30.0, 0.0]"
31.000,1779427906832240241,"[0.0, 0.0, 30.0, 0.0]"
32.000,1779427907832338031,"[0.0, 0.0, 30.0, 0.0]"
33.001,1779427908832891690,"[0.0, 0.0, 30.0, 0.0]"
34.000,1779427909832340654,"[0.0, 0.0, 30.0, 0.0]"
35.002,1779427910834107923,"[0.0, 0.0, 30.0, 0.0]"
36.000,1779427911832037782,"[0.0, 0.0, 30.0, 0.0]"
37.000,1779427912832089197,"[0.0, 0.0, 30.0, 0.0]"
38.000,1779427913832145862,"[0.0, 0.0, 30.0, 0.0]"
39.000,1779427914832200819,"[0.0, 0.0, 30.0, 0.0]"
40.000,1779427915832436316,"[0.0, 0.0, 30.0, 0.0]"
41.000,1779427916832141527,"[0.0, 0.0, 30.0, 0.0]"
42.000,1779427917832181276,"[0.0, 0.0, 30.0, 0.0]"
43.000,1779427918832128651,"[0.0, 0.0, 30.0, 0.0]"
44.000,1779427919832416897,"[0.0, 0.0, 30.0, 0.0]"
45.000,1779427920832303814,"[0.0, 0.0, 30.0, 0.0]"
45.900,1779427921732472920,"[250.0, 0.0, 30.0, 0.0]"
46.000,1779427921832139732,"[250.0, 0.0, 30.0, 0.0]"
47.000,1779427922832063982,"[250.0, 0.0, 30.0, 0.0]"
48.000,1779427923831922109,"[250.0, 0.0, 30.0, 0.0]"
49.000,1779427924832094564,"[250.0, 0.0, 30.0, 0.0]"
50.000,1779427925832070105,"[250.0, 0.0, 30.0, 0.0]"
51.000,1779427926832541807,"[250.0, 0.0, 30.0, 0.0]"
52.000,1779427927831911898,"[250.0, 0.0, 30.0, 0.0]"
53.000,1779427928832012313,"[250.0, 0.0, 30.0, 0.0]"
54.000,1779427929832105436,"[250.0, 0.0, 30.0, 0.0]"
54.801,1779427930632832851,"[187.6756591796875, -85.40824890136719, 150.0, 0.0]"
55.000,1779427930832020061,"[187.6756591796875, -85.40824890136719, 150.0, 0.0]"
56.000,1779427931832157475,"[187.6756591796875, -85.40824890136719, 150.0, 0.0]"
57.000,1779427932832145975,"[187.6756591796875, -85.40824890136719, 150.0, 0.0]"
58.000,1779427933831920852,"[187.6756591796875, -85.40824890136719, 150.0, 0.0]"
59.000,1779427934832092058,"[187.6756591796875, -85.40824890136719, 150.0, 0.0]"
59.250,1779427935081949601,"[187.6756591796875, -85.40824890136719, 150.0, 0.0]"
60.000,1779427935831973392,"[187.6756591796875, -85.40824890136719, 150.0, 0.0]"
60.300,1779427936131849693,"[187.6756591796875, -85.40824890136719, 150.0, 0.0]"
60.350,1779427936181828202,"[175.8849334716797, -166.18426513671875, 150.0, 0.0]"
61.000,1779427936832032682,"[175.8849334716797, -166.18426513671875, 150.0, 0.0]"
62.000,1779427937832222804,"[175.8849334716797, -166.18426513671875, 150.0, 0.0]"
63.000,1779427938831976431,"[175.8849334716797, -166.18426513671875, 150.0, 0.0]"
63.999,1779427939831705851,"[175.8849334716797, -166.18426513671875, 150.0, 0.0]"
64.050,1779427939882169395,"[175.8849334716797, -166.18426513671875, 150.0, 0.0]"
65.000,1779427940832592131,"[175.8849334716797, -166.18426513671875, 150.0, 0.0]"
66.000,1779427941831856056,"[175.8849334716797, -166.18426513671875, 150.0, 0.0]"
67.000,1779427942831924596,"[175.8849334716797, -166.18426513671875, 150.0, 0.0]"
68.000,1779427943832077052,"[175.8849334716797, -166.18426513671875, 150.0, 0.0]"
68.099,1779427943931746198,"[175.8849334716797, -166.18426513671875, 150.0, 0.0]"
68.149,1779427943981734331,"[81.24284362792969, -177.0233154296875, 150.0, 0.0]"
69.000,1779427944831904637,"[81.24284362792969, -177.0233154296875, 150.0, 0.0]"
70.000,1779427945832035676,"[81.24284362792969, -177.0233154296875, 150.0, 0.0]"
71.000,1779427946831814137,"[81.24284362792969, -177.0233154296875, 150.0, 0.0]"
71.799,1779427947631652855,"[81.24284362792969, -177.0233154296875, 150.0, 0.0]"
72.000,1779427947831950426,"[81.24284362792969, -177.0233154296875, 150.0, 0.0]"
73.000,1779427948832496502,"[81.24284362792969, -177.0233154296875, 150.0, 0.0]"
73.999,1779427949831661261,"[81.24284362792969, -177.0233154296875, 150.0, 0.0]"
74.999,1779427950831698385,"[81.24284362792969, -177.0233154296875, 150.0, 0.0]"
75.850,1779427951681870274,"[67.86502075195312, -87.96623229980469, 150.0, 0.0]"
76.000,1779427951831826800,"[67.86502075195312, -87.96623229980469, 150.0, 0.0]"
77.000,1779427952832071004,"[67.86502075195312, -87.96623229980469, 150.0, 0.0]"
77.999,1779427953831649342,"[67.86502075195312, -87.96623229980469, 150.0, 0.0]"
78.999,1779427954831593592,"[67.86502075195312, -87.96623229980469, 150.0, 0.0]"
79.999,1779427955831499468,"[67.86502075195312, -87.96623229980469, 150.0, 0.0]"
80.899,1779427956731621741,"[67.86502075195312, -87.96623229980469, 150.0, 0.0]"
81.001,1779427956832902617,"[67.86502075195312, -87.96623229980469, 150.0, 0.0]"
81.999,1779427957831522925,"[67.86502075195312, -87.96623229980469, 150.0, 0.0]"
82.500,1779427958331827754,"[67.86502075195312, -87.96623229980469, 150.0, 0.0]"
82.549,1779427958381667139,"[250.0, -250.0, 150.0, 0.0]"
82.999,1779427958831543715,"[250.0, -250.0, 150.0, 0.0]"
84.000,1779427959831988876,"[250.0, -250.0, 150.0, 0.0]"
84.999,1779427960831642005,"[250.0, -250.0, 150.0, 0.0]"
85.999,1779427961831549047,"[250.0, -250.0, 150.0, 0.0]"
86.999,1779427962831730544,"[250.0, -250.0, 150.0, 0.0]"
87.999,1779427963831542712,"[250.0, -250.0, 150.0, 0.0]"
89.000,1779427964831965998,"[250.0, -250.0, 150.0, 0.0]"
90.000,1779427965832033830,"[250.0, -250.0, 150.0, 0.0]"
90.549,1779427966381372471,"[250.0, -250.0, 30.0, 0.0]"
91.000,1779427966832030787,"[250.0, -250.0, 30.0, 0.0]"
91.999,1779427967831555751,"[250.0, -250.0, 30.0, 0.0]"
92.999,1779427968831453960,"[250.0, -250.0, 30.0, 0.0]"
93.500,1779427969331785622,"[250.0, -250.0, 20.0, 0.0]"
93.999,1779427969831418460,"[250.0, -250.0, 20.0, 0.0]"
